#,Property ID,Property Name,Property Address,City,State,# of Units,Property Type,Type of Financing,Date of Ownership,Name of Owner,SPONSOR,Owner Address,City,State,Owner Phone #,Name of Management Agent,MA City,MA State,MA Phone #,MA Fax #,High Risk?
1,800015052,DUNCAN GENNS APARTMENTS                           ,725 EVERGREEN AVE                            ,Brooklyn                    ,NY,103,202/811,202/811                       ,,"St. Thomas Episcopal Senior Citizens, HDFC.                                                         ",Episcopal- St. Thomas- Fahter Sully,1405   Bushwick  AVE                         ,Brooklyn                    ,NY,(718) 452-2332           ,AAA Management Corp.                                                                                ,Long Island City            ,NY,212-651-0638             ,                  ,
2,800215406,Ozzie Wilson Residences Senior Housing            ,575 Central Ave                              ,Brooklyn                    ,NY,66,202/811,202/811                       ,9/30/2005,OZZIE WILSON HDFC                                                                                   ,Brooklyn Information Coordinating Action Committee (BICAC),c/o The Amistad Management Corp.             ,Valley Stream               ,NY,516-285-7500             ,Amistad Management Corporation                                                                      ,VALLEY STREAM               ,NY,(516) 285-7500           ,(516) 285-7714    ,High Risk
3,800015942,ELIJAH SMITH HOUSES                               ,665 Greene Ave                               ,Brooklyn                    ,NY,91,202/811,202/811                       ,,"ELIJAH SMITH SENIOR CITIZENS HDFC, INC.                                                             ",Cornerstone Baptist- Rev Lawrence Aker,c/o THE AMISTAD MANAGEMENT CORP.             ,VALLEY STREAM               ,NY,516-285-7500             ,Amistad Management Corporation                                                                      ,VALLEY STREAM               ,NY,(516) 285-7500           ,(516) 285-7714    ,High Risk
4,800014994,Cornerstone Sandy F. Ray Housing                  ,550 GREENE AVE                               ,Brooklyn                    ,NY,151,Subsidized - Previously 202/811,                              ,,"CORNERSTONE HOUSING ASSOCIATES, LP                                                                  ",Cornerstone Baptist- Rev Lawrence Aker,43 N. CENTRAL AVENUE                         ,VALLEY STREAM               ,NY,516-285-7500             ,Amistad Management Corporation                                                                      ,VALLEY STREAM               ,NY,(516) 285-7500           ,(516) 285-7714    ,
5,800014977,CONCORD SENIOR CITIZEN HOUSING                    ,375 PUTNAM AVE                               ,Brooklyn                    ,NY,31,202/811,202/811                       ,6/8/1984,"Concord Senior Citizens HDFC, Inc.                                                                  ",Concord Baptist- next to property,c/o THE AMISTADGROUP.COM                     ,VALLEY STREAM               ,NY,516-285-7500             ,Amistad Management Corporation                                                                      ,VALLEY STREAM               ,NY,(516) 285-7500           ,(516) 285-7714    ,High Risk
6,800054785,MARJORIE RICHARDSON COURT                         ,359 HENDRIX ST                               ,Brooklyn                    ,NY,54,202/811,202/811                       ,11/24/1997,"MRC Housing Development Fund Co., Inc.                                                              ",Winchester Key-ENYUC,539 ALABAMA AVE                              ,Brooklyn                    ,NY,718-922-2229 X 110       ,ARCO Management Corporation                                                                         ,Suffern                     ,NY,845-368-2400             ,                  ,High Risk
7,800016072,Tri-Senior Housing                                ,680 OCEAN PKWY                               ,Brooklyn                    ,NY,89,Subsidized - Previously 202/811,                              ,11/29/2007,"TRI-SENIOR HOUSING ASSOCIATES, LP                                                                   ",,4006 Eighteenth Ave                          ,Brooklyn                    ,NY,718-435-1300             ,"B.P. H.A.N.D., Inc.                                                                                 ",Brooklyn                    ,NY,(718) 435-1300           ,                  ,                  
8,800016079,Tri-Senior Housing                                ,1002-1022 44TH STREET                        ,Brooklyn                    ,NY,74,Subsidized - Previously 202/811,                              ,11/29/2007,"TRI-SENIOR HOUSING ASSOCIATES, LP                                                                   ",,4006 Eighteenth Ave                          ,Brooklyn                    ,NY,718-435-1300             ,"B.P. H.A.N.D., Inc.                                                                                 ",Brooklyn                    ,NY,(718) 435-1300           ,                  ,                  
9,800016080,Tri-Senior Housing                                ,1017-27 44th ST                              ,Brooklyn                    ,NY,40,Subsidized - Previously 202/811,                              ,11/29/2007,"TRI-SENIOR HOUSING ASSOCIATES, LP                                                                   ",,4006 Eighteenth Ave                          ,Brooklyn                    ,NY,718-435-1300             ,"B.P. H.A.N.D., Inc.                                                                                 ",Brooklyn                    ,NY,(718) 435-1300           ,                  ,                  
10,800223033,Common Ground                                     ,1505 St. Marks Avenue                        ,Brooklyn                    ,NY,72,202/811,202/811                       ,11/26/2008,St. Marks Brownsville Limited Partnership                                                           ,,505 Eighth Avenue                            ,New York                    ,NY,212-389-9300             ,Common Ground Management                                                                            ,New York                    ,NY,212-389-9300             ,                  ,High Risk
11,800221716,Moffat Gardens                                    ,22 Moffat Street                             ,Brooklyn                    ,NY,72,202/811,202/811                       ,9/22/2008,Moffat Gardens Housing Development Fund Co.Inc.                                                     ,,217 Wyckoff Avenue                           ,Brooklyn                    ,NY,718-366-3800             ,Community Property Management Inc.                                                                  ,Brooklyn                    ,NY,718-366-3800             ,718-366-8740      ,High Risk
